family,model,case_id,pair_id,domain,variant_id,termination_reason,outcome_success,successful_suffix_exact,unavailable_correct,unnecessary_call_count,model_turns,environment_calls,restarts,prompt_tokens,completion_tokens,total_tokens,visible_operation_count,target_step_count,included_target_step_count,removed_target_step_count,decoy_call_count,successful_decoy_call_count,wrong_state_commit_count,wrong_state_committed,false_finish_after_decoy,wrong_state_detected,restart_recovered,compensating_action_count,turns_to_detection,target_state_achieved,residual_wrong_state_at_termination,reachability,target_operation_id,query_template_id,behavior_correct
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,76952,3122,80074,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,1,0
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,baseline,finish,1,1,,,2,1,0,7496,364,7860,10,3,0,0,,,,,,,,,,,,reachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,no-gold,unavailable,0,,1,0,1,0,0,3429,1260,4689,9,3,0,0,,,,,,,,,,,,unreachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,33999,623,34622,30,3,3,0,,,,,,,,,,,,reachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,sub-operations-first-only,unavailable,0,,1,2,6,2,1,60915,5228,66143,28,3,1,2,,,,,,,,,,,,unreachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,123628,13633,137261,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7395,1960,9355,27,3,0,3,,,,,,,,,,,,unreachable,resolve_audit_sample,2,1
structural,glm-5.2,compliance_audit-audit_sample-02,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,77264,3188,80452,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,2,0
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,baseline,finish,1,1,,,2,1,0,7512,428,7940,10,3,0,0,,,,,,,,,,,,reachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,no-gold,unavailable,0,,1,0,1,0,0,3429,855,4284,9,3,0,0,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34352,879,35231,30,3,3,0,,,,,,,,,,,,reachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,sub-operations-first-only,unavailable,0,,1,1,2,1,0,15553,1677,17230,28,3,1,2,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,132850,17542,150392,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7395,1230,8625,27,3,0,3,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-03,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,5,2,0,46552,3416,49968,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,baseline,finish,1,1,,,2,1,0,7457,349,7806,10,3,0,0,,,,,,,,,,,,reachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,no-gold,unavailable,0,,1,6,7,6,0,37891,4189,42080,9,3,0,0,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34273,754,35027,30,3,3,0,,,,,,,,,,,,reachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,sub-operations-first-only,unavailable,0,,1,2,5,2,0,50449,6654,57103,28,3,1,2,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,112563,8524,121087,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7396,1379,8775,27,3,0,3,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-04,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,5,2,0,43675,3042,46717,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,baseline,finish,1,1,,,2,1,0,7484,348,7832,10,3,0,0,,,,,,,,,,,,reachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,no-gold,budget_exhausted,0,,0,3,8,3,1,42058,2782,44840,9,3,0,0,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34234,658,34892,30,3,3,0,,,,,,,,,,,,reachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,sub-operations-first-only,unavailable,0,,1,1,4,1,0,37932,5344,43276,28,3,1,2,,,,,,,,,,,,unreachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,sub-operations-no-first,unavailable,0,,1,2,3,2,0,30250,4824,35074,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,sub-operations-no-gold,budget_exhausted,0,,0,3,8,3,1,76083,3521,79604,27,3,0,3,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-00,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,5,8,5,1,79012,3498,82510,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,baseline,finish,1,1,,,2,1,0,7475,349,7824,10,3,0,0,,,,,,,,,,,,reachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,no-gold,budget_exhausted,0,,0,2,8,2,1,41621,2947,44568,9,3,0,0,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34153,633,34786,30,3,3,0,,,,,,,,,,,,reachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,sub-operations-first-only,budget_exhausted,0,,0,4,8,4,1,84471,5360,89831,28,3,1,2,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,sub-operations-no-first,unavailable,0,,1,5,6,5,0,70194,6283,76477,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,sub-operations-no-gold,budget_exhausted,0,,0,3,8,3,1,75724,3981,79705,27,3,0,3,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-01,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,3,2,0,24487,1460,25947,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,baseline,finish,1,1,,,2,1,0,7476,334,7810,10,3,0,0,,,,,,,,,,,,reachable,resolve_control_status,2,1
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,no-gold,budget_exhausted,0,,0,2,8,2,1,41333,4443,45776,9,3,0,0,,,,,,,,,,,,unreachable,resolve_control_status,2,0
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,33919,565,34484,30,3,3,0,,,,,,,,,,,,reachable,resolve_control_status,2,1
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,sub-operations-first-only,unavailable,0,,1,1,2,1,0,15523,1175,16698,28,3,1,2,,,,,,,,,,,,unreachable,resolve_control_status,2,1
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,sub-operations-no-first,unavailable,0,,1,5,7,5,1,112019,15342,127361,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,2,1
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,sub-operations-no-gold,budget_exhausted,0,,0,3,8,3,1,73406,2789,76195,27,3,0,3,,,,,,,,,,,,unreachable,resolve_control_status,2,0
structural,glm-5.2,compliance_audit-control_status-02,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,5,2,0,44417,2638,47055,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,2,1
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,baseline,finish,1,1,,,2,1,0,7464,349,7813,10,3,0,0,,,,,,,,,,,,reachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,no-gold,budget_exhausted,0,,0,2,8,2,1,39572,3305,42877,9,3,0,0,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34327,786,35113,30,3,3,0,,,,,,,,,,,,reachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,sub-operations-first-only,unavailable,0,,1,3,8,3,1,78843,4259,83102,28,3,1,2,,,,,,,,,,,,unreachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,sub-operations-no-first,unavailable,0,,1,5,7,5,1,93889,13185,107074,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,0,1
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,sub-operations-no-gold,budget_exhausted,0,,0,3,8,3,1,74771,4850,79621,27,3,0,3,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-03,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,78233,3424,81657,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,0,0
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,baseline,finish,1,1,,,2,1,0,7406,269,7675,10,3,0,0,,,,,,,,,,,,reachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,no-gold,budget_exhausted,0,,0,2,8,2,1,35746,2671,38417,9,3,0,0,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34023,722,34745,30,3,3,0,,,,,,,,,,,,reachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,sub-operations-first-only,budget_exhausted,0,,0,4,8,4,1,85081,6031,91112,28,3,1,2,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,125353,16386,141739,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,1,1
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,sub-operations-no-gold,budget_exhausted,0,,0,4,8,4,1,72846,3146,75992,27,3,0,3,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-control_status-04,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,74675,2554,77229,29,3,2,1,,,,,,,,,,,,unreachable,resolve_control_status,1,0
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,baseline,finish,1,1,,,2,1,0,7589,461,8050,10,3,0,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,no-gold,unavailable,0,,1,1,2,1,0,7101,635,7736,9,3,0,0,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,35701,1273,36974,30,3,3,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,sub-operations-first-only,unavailable,0,,1,4,8,4,1,101622,10776,112398,28,3,1,2,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,85925,5508,91433,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,2,4,2,1,32518,1450,33968,27,3,0,3,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-00,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,5,8,5,1,86913,4677,91590,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,0
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,baseline,finish,1,1,,,2,1,0,7575,436,8011,10,3,0,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,no-gold,unavailable,0,,1,2,4,2,1,16219,1459,17678,9,3,0,0,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34275,928,35203,30,3,3,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,sub-operations-first-only,budget_exhausted,0,,0,5,8,5,1,109334,12992,122326,28,3,1,2,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,0
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,91350,7058,98408,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,1,2,1,0,15105,1558,16663,27,3,0,3,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-01,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,76946,2828,79774,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,0
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,baseline,finish,1,1,,,2,1,0,7507,364,7871,10,3,0,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,no-gold,unavailable,0,,1,1,2,1,0,7114,803,7917,9,3,0,0,,,,,,,,,,,,unreachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34572,839,35411,30,3,3,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,sub-operations-first-only,unavailable,0,,1,4,8,4,1,96620,7872,104492,28,3,1,2,,,,,,,,,,,,unreachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,88051,5361,93412,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,2,4,2,1,31894,1194,33088,27,3,0,3,,,,,,,,,,,,unreachable,resolve_evidence_completeness,2,1
structural,glm-5.2,compliance_audit-evidence_completeness-02,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,75019,2815,77834,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,2,0
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,baseline,finish,1,1,,,2,1,0,7566,483,8049,10,3,0,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,no-gold,unavailable,0,,1,1,2,1,0,7115,756,7871,9,3,0,0,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34753,903,35656,30,3,3,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,sub-operations-first-only,unavailable,0,,1,3,4,3,0,37638,5176,42814,28,3,1,2,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,sub-operations-no-first,unavailable,0,,1,5,7,5,1,75942,6103,82045,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,1,2,1,0,15119,1834,16953,27,3,0,3,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,1
structural,glm-5.2,compliance_audit-evidence_completeness-03,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,77953,3191,81144,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,0,0
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,baseline,finish,1,1,,,2,1,0,7475,420,7895,10,3,0,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,no-gold,unavailable,0,,1,1,2,1,0,7049,681,7730,9,3,0,0,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34355,783,35138,30,3,3,0,,,,,,,,,,,,reachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,sub-operations-first-only,budget_exhausted,0,,0,4,8,4,1,90081,7162,97243,28,3,1,2,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,0
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,95748,6970,102718,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,1,2,1,0,15052,900,15952,27,3,0,3,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,1
structural,glm-5.2,compliance_audit-evidence_completeness-04,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,75616,3019,78635,29,3,2,1,,,,,,,,,,,,unreachable,resolve_evidence_completeness,1,0
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,baseline,finish,1,1,,,2,1,0,7450,303,7753,10,3,0,0,,,,,,,,,,,,reachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,no-gold,unavailable,0,,1,1,2,1,0,8126,1840,9966,9,3,0,0,,,,,,,,,,,,unreachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34117,715,34832,30,3,3,0,,,,,,,,,,,,reachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,sub-operations-first-only,unavailable,0,,1,2,5,2,0,51727,6275,58002,28,3,1,2,,,,,,,,,,,,unreachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,101645,8569,110214,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7395,1613,9008,27,3,0,3,,,,,,,,,,,,unreachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-00,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,3,2,0,24583,1626,26209,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,0,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,baseline,finish,1,1,,,2,1,0,7429,260,7689,10,3,0,0,,,,,,,,,,,,reachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,no-gold,unavailable,0,,1,0,1,0,0,3431,1161,4592,9,3,0,0,,,,,,,,,,,,unreachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34067,631,34698,30,3,3,0,,,,,,,,,,,,reachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,sub-operations-first-only,unavailable,0,,1,3,8,3,1,84392,5862,90254,28,3,1,2,,,,,,,,,,,,unreachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,96579,8209,104788,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7394,1320,8714,27,3,0,3,,,,,,,,,,,,unreachable,resolve_exception_expiry,1,1
structural,glm-5.2,compliance_audit-exception_expiry-01,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,76190,2826,79016,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,1,0
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,baseline,finish,1,1,,,2,1,0,7441,280,7721,10,3,0,0,,,,,,,,,,,,reachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,no-gold,unavailable,0,,1,0,1,0,0,3432,1182,4614,9,3,0,0,,,,,,,,,,,,unreachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,33866,530,34396,30,3,3,0,,,,,,,,,,,,reachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,sub-operations-first-only,unavailable,0,,1,3,8,3,1,104142,9544,113686,28,3,1,2,,,,,,,,,,,,unreachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,sub-operations-no-first,unavailable,0,,1,5,6,5,0,75435,7582,83017,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,6,7,6,0,85698,8692,94390,27,3,0,3,,,,,,,,,,,,unreachable,resolve_exception_expiry,2,1
structural,glm-5.2,compliance_audit-exception_expiry-02,,compliance_audit,sub-operations-no-last,budget_exhausted,0,,0,4,8,4,1,81532,6088,87620,29,3,2,1,,,,,,,,,,,,unreachable,resolve_exception_expiry,2,0
structural,glm-5.2,compliance_audit-exception_expiry-03,,compliance_audit,baseline,finish,1,1,,,2,1,0,7467,334,7801,10,3,0,0,,,,,,,,,,,,reachable,resolve_exception_expiry,0,1
