model,family,pair_id,case_id,cluster_id,domain,contrast,phenotype,high_margin,low_margin,effect
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_control_evidence_status-00:decoy-observation,stateful-compliance_audit-set_control_evidence_status-00,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.25000219054163,-14.125022761773309,-5.12497942876832
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_control_evidence_status-01:decoy-observation,stateful-compliance_audit-set_control_evidence_status-01,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.18752084759459,-13.875048762501962,-5.3124720850926295
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_control_evidence_status-02:decoy-observation,stateful-compliance_audit-set_control_evidence_status-02,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.25000152673757,-16.125065617393496,-2.1249359093440745
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_control_evidence_status-03:decoy-observation,stateful-compliance_audit-set_control_evidence_status-03,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.37500291727485,-16.125059908999788,-3.2499430082750607
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_control_evidence_status-04:decoy-observation,stateful-compliance_audit-set_control_evidence_status-04,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.875203595350655,-15.500012777796982,-3.3751908175536727
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_exception_extension_days-00:decoy-observation,stateful-compliance_audit-set_exception_extension_days-00,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.625002889794814,-14.875022166173366,-4.749980723621448
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_exception_extension_days-01:decoy-observation,stateful-compliance_audit-set_exception_extension_days-01,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.125577914434814,-13.000039124794839,-5.125538789639975
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_exception_extension_days-02:decoy-observation,stateful-compliance_audit-set_exception_extension_days-02,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.12500201068667,-14.375023508946306,-4.749978501740365
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_exception_extension_days-03:decoy-observation,stateful-compliance_audit-set_exception_extension_days-03,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.00000239355937,-15.625026242257732,-4.374976151301638
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_exception_extension_days-04:decoy-observation,stateful-compliance_audit-set_exception_extension_days-04,compliance-control-vs-exception,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.062502875730324,-15.250018256391677,-3.8124846193386475
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_filing_artifact_count-00:decoy-observation,stateful-compliance_audit-set_filing_artifact_count-00,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.750002100335998,-13.250047903569815,-6.499954196766183
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_filing_artifact_count-01:decoy-observation,stateful-compliance_audit-set_filing_artifact_count-01,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.937560137329854,-13.375091385137907,-6.562468752191947
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_filing_artifact_count-02:decoy-observation,stateful-compliance_audit-set_filing_artifact_count-02,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.25000306158993,-14.7500668495571,-4.499936212032829
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_filing_artifact_count-03:decoy-observation,stateful-compliance_audit-set_filing_artifact_count-03,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.37500415021435,-14.3750751245338,-4.999929025680551
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_filing_artifact_count-04:decoy-observation,stateful-compliance_audit-set_filing_artifact_count-04,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.500002654721428,-15.000025381465719,-3.499977273255709
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_remediation_owner-00:decoy-observation,stateful-compliance_audit-set_remediation_owner-00,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.18750240458575,-10.625082432458342,-8.562419972127408
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_remediation_owner-01:decoy-observation,stateful-compliance_audit-set_remediation_owner-01,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.31250240415696,-11.750202382914559,-8.5623000212424
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_remediation_owner-02:decoy-observation,stateful-compliance_audit-set_remediation_owner-02,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.375002985664736,-15.125071282396789,-4.249931703267947
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_remediation_owner-03:decoy-observation,stateful-compliance_audit-set_remediation_owner-03,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.000002507781765,-13.875036093936245,-6.12496641384552
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_remediation_owner-04:decoy-observation,stateful-compliance_audit-set_remediation_owner-04,compliance-owner-vs-filing,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.000002284051526,-14.375061634772862,-4.624940649278663
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_retention_years-00:decoy-observation,stateful-compliance_audit-set_retention_years-00,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.062501925856964,-14.000223263379965,-5.062278662476999
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_retention_years-01:decoy-observation,stateful-compliance_audit-set_retention_years-01,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.125001507476895,-12.875430682721131,-5.249570824755764
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_retention_years-02:decoy-observation,stateful-compliance_audit-set_retention_years-02,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.375001485458675,-14.500376259511988,-3.874625225946687
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_retention_years-03:decoy-observation,stateful-compliance_audit-set_retention_years-03,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.812501660773414,-14.125143564801647,-5.687358095971767
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_retention_years-04:decoy-observation,stateful-compliance_audit-set_retention_years-04,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.750001287816204,-14.500045996957518,-4.249955290858686
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_risk_matrix_score-00:decoy-observation,stateful-compliance_audit-set_risk_matrix_score-00,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.312501244493106,-15.500048861526466,-4.81245238296664
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_risk_matrix_score-01:decoy-observation,stateful-compliance_audit-set_risk_matrix_score-01,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.000002318015817,-12.625231412970152,-5.374770905045665
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_risk_matrix_score-02:decoy-observation,stateful-compliance_audit-set_risk_matrix_score-02,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.31250230173319,-15.875041594620583,-2.4374607071126064
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_risk_matrix_score-03:decoy-observation,stateful-compliance_audit-set_risk_matrix_score-03,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.382889387008028,-14.000061389501134,-5.382827997506894
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_risk_matrix_score-04:decoy-observation,stateful-compliance_audit-set_risk_matrix_score-04,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.56250084638723,-15.37506395956256,-4.1874368868246705
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_citation_target-00:decoy-observation,stateful-contracts_documents-set_citation_target-00,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.93750238113551,-11.750027428613805,-8.187474952521704
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_citation_target-01:decoy-observation,stateful-contracts_documents-set_citation_target-01,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.93750499632298,-11.500107225247667,-8.437397771075311
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_citation_target-02:decoy-observation,stateful-contracts_documents-set_citation_target-02,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.562501895674316,-13.750040381917039,-4.8124615137572775
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_citation_target-03:decoy-observation,stateful-contracts_documents-set_citation_target-03,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.68750175366241,-11.12506702722834,-8.56243472643407
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_citation_target-04:decoy-observation,stateful-contracts_documents-set_citation_target-04,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.812501813609828,-14.625023140318952,-5.187478673290876
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_contract_deadline_offset-00:decoy-observation,stateful-contracts_documents-set_contract_deadline_offset-00,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.81250198256005,-12.375049641542162,-7.437452341017888
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_contract_deadline_offset-01:decoy-observation,stateful-contracts_documents-set_contract_deadline_offset-01,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.937503259594273,-11.50006049086197,-7.4374427687323035
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_contract_deadline_offset-02:decoy-observation,stateful-contracts_documents-set_contract_deadline_offset-02,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.25000211683397,-12.500042607204094,-5.749959509629875
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_contract_deadline_offset-03:decoy-observation,stateful-contracts_documents-set_contract_deadline_offset-03,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.31250200885559,-11.750118427476572,-7.562383581379017
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_contract_deadline_offset-04:decoy-observation,stateful-contracts_documents-set_contract_deadline_offset-04,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.375002483463113,-13.500010856116795,-4.8749916273463185
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_document_section_text-00:decoy-observation,stateful-contracts_documents-set_document_section_text-00,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.37500220218069,-12.875035358636048,-6.499966843544641
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_document_section_text-01:decoy-observation,stateful-contracts_documents-set_document_section_text-01,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.000353874040215,-12.000274962305106,-7.000078911735109
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_document_section_text-02:decoy-observation,stateful-contracts_documents-set_document_section_text-02,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.501115029692897,-13.500094345680246,-6.001020684012651
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_document_section_text-03:decoy-observation,stateful-contracts_documents-set_document_section_text-03,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.10990240324164,-12.625154892356328,-6.484747510885313
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_document_section_text-04:decoy-observation,stateful-contracts_documents-set_document_section_text-04,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-17.938128221442028,-14.625025270970916,-3.3131029504711123
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_effective_clause_text-00:decoy-observation,stateful-contracts_documents-set_effective_clause_text-00,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.625002238821807,-13.125011457403161,-6.499990781418646
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_effective_clause_text-01:decoy-observation,stateful-contracts_documents-set_effective_clause_text-01,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.812503325811058,-13.875027764930593,-5.937475560880465
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_effective_clause_text-02:decoy-observation,stateful-contracts_documents-set_effective_clause_text-02,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.37500216134098,-14.00001280064589,-5.374989360695089
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_effective_clause_text-03:decoy-observation,stateful-contracts_documents-set_effective_clause_text-03,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-20.375002046016917,-12.875032882877505,-7.499969163139411
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_effective_clause_text-04:decoy-observation,stateful-contracts_documents-set_effective_clause_text-04,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.750004004637788,-15.500013547797728,-4.2499904568400595
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_obligation_party-00:decoy-observation,stateful-contracts_documents-set_obligation_party-00,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.625002018228656,-13.000051244768066,-6.62495077346059
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_obligation_party-01:decoy-observation,stateful-contracts_documents-set_obligation_party-01,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.937502334407725,-12.250057965574698,-6.687444368833027
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_obligation_party-02:decoy-observation,stateful-contracts_documents-set_obligation_party-02,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.375001794060978,-12.37509551679154,-6.999906277269439
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_obligation_party-03:decoy-observation,stateful-contracts_documents-set_obligation_party-03,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.062501843679257,-13.250219655071561,-5.812282188607696
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_obligation_party-04:decoy-observation,stateful-contracts_documents-set_obligation_party-04,contracts-clause-vs-obligation,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.562502301216448,-14.12504518948333,-5.437457111733117
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_retention_classification-00:decoy-observation,stateful-contracts_documents-set_retention_classification-00,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.562502425200854,-11.625256742735758,-7.937245682465097
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_retention_classification-01:decoy-observation,stateful-contracts_documents-set_retention_classification-01,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.000002633341985,-12.000645914127169,-6.999356719214816
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_retention_classification-02:decoy-observation,stateful-contracts_documents-set_retention_classification-02,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.000002208586523,-12.750293261196148,-5.249708947390374
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_retention_classification-03:decoy-observation,stateful-contracts_documents-set_retention_classification-03,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.375007579014962,-10.250177164670205,-9.124830414344757
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_retention_classification-04:decoy-observation,stateful-contracts_documents-set_retention_classification-04,contracts-retention-vs-section,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.000033108703377,-10.875664027921623,-7.124369080781754
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_revision_approval-00:decoy-observation,stateful-contracts_documents-set_revision_approval-00,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.562502434906214,-10.625479541867314,-7.9370228930389
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_revision_approval-01:decoy-observation,stateful-contracts_documents-set_revision_approval-01,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-17.7500045909161,-12.375119020582432,-5.374885570333667
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_revision_approval-02:decoy-observation,stateful-contracts_documents-set_revision_approval-02,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-17.625002350838095,-14.000111181890993,-3.6248911689471015
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_revision_approval-03:decoy-observation,stateful-contracts_documents-set_revision_approval-03,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-17.875002031927927,-9.87525999816836,-7.999742033759567
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_revision_approval-04:decoy-observation,stateful-contracts_documents-set_revision_approval-04,contracts-deadline-vs-version,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.375002632499317,-13.250044243956587,-5.12495838854273
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_signature_event_type-00:decoy-observation,stateful-contracts_documents-set_signature_event_type-00,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.062503280450457,-12.750068442187015,-6.312434838263442
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_signature_event_type-01:decoy-observation,stateful-contracts_documents-set_signature_event_type-01,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.375004367524603,-11.625069806534405,-7.749934560990198
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_signature_event_type-02:decoy-observation,stateful-contracts_documents-set_signature_event_type-02,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.75000744033614,-13.250048872333359,-5.499958568002782
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_signature_event_type-03:decoy-observation,stateful-contracts_documents-set_signature_event_type-03,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-19.375003676388204,-11.3750238341647,-7.999979842223503
qwen3-4b,semantic,semantic:stateful-contracts_documents-set_signature_event_type-04:decoy-observation,stateful-contracts_documents-set_signature_event_type-04,contracts-citation-vs-signature,contracts_documents,decoy_success_minus_failure,explicit_failure,-18.443432436868797,-14.875013755857545,-3.568418681011252
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_contact_channel-00:decoy-observation,stateful-customer_support-set_case_contact_channel-00,support-action-vs-channel,customer_support,decoy_success_minus_failure,explicit_failure,-19.43750163639234,-15.000052279140654,-4.437449357251687
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_contact_channel-01:decoy-observation,stateful-customer_support-set_case_contact_channel-01,support-action-vs-channel,customer_support,decoy_success_minus_failure,explicit_failure,-20.37500178700126,-14.375140194329013,-5.9998615926722465
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_contact_channel-02:decoy-observation,stateful-customer_support-set_case_contact_channel-02,support-action-vs-channel,customer_support,decoy_success_minus_failure,explicit_failure,-19.062502099598966,-16.250078074762186,-2.81242402483678
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_contact_channel-03:decoy-observation,stateful-customer_support-set_case_contact_channel-03,support-action-vs-channel,customer_support,decoy_success_minus_failure,explicit_failure,-19.81250183964852,-15.875196426337112,-3.9373054133114067
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_contact_channel-04:decoy-observation,stateful-customer_support-set_case_contact_channel-04,support-action-vs-channel,customer_support,decoy_success_minus_failure,explicit_failure,-19.687501662423955,-14.875038576880627,-4.812463085543328
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_priority-00:decoy-observation,stateful-customer_support-set_case_priority-00,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-18.750017297367123,-14.625062879020987,-4.124954418346135
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_priority-01:decoy-observation,stateful-customer_support-set_case_priority-01,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-19.87500321141743,-16.12502431155592,-3.7499788998615102
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_priority-02:decoy-observation,stateful-customer_support-set_case_priority-02,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-19.437505240592692,-16.12503601090571,-3.3124692296869824
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_priority-03:decoy-observation,stateful-customer_support-set_case_priority-03,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-19.437505446932946,-17.375064810648148,-2.062440636284798
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_priority-04:decoy-observation,stateful-customer_support-set_case_priority-04,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-19.31250320105471,-17.625002235899892,-1.6875009651548183
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_routing_owner-00:decoy-observation,stateful-customer_support-set_case_routing_owner-00,support-owner-vs-sla,customer_support,decoy_success_minus_failure,explicit_failure,-20.312501811617963,-11.750231608537192,-8.562270203080772
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_routing_owner-01:decoy-observation,stateful-customer_support-set_case_routing_owner-01,support-owner-vs-sla,customer_support,decoy_success_minus_failure,explicit_failure,-20.43750219191545,-13.250139689324726,-7.187362502590723
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_routing_owner-02:decoy-observation,stateful-customer_support-set_case_routing_owner-02,support-owner-vs-sla,customer_support,decoy_success_minus_failure,explicit_failure,-19.812502944152193,-14.000682985113713,-5.8118199590384805
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_routing_owner-03:decoy-observation,stateful-customer_support-set_case_routing_owner-03,support-owner-vs-sla,customer_support,decoy_success_minus_failure,explicit_failure,-20.56250363689746,-13.625081501259018,-6.9374221356384425
qwen3-4b,semantic,semantic:stateful-customer_support-set_case_routing_owner-04:decoy-observation,stateful-customer_support-set_case_routing_owner-04,support-owner-vs-sla,customer_support,decoy_success_minus_failure,explicit_failure,-19.75000221924973,-14.250143316549412,-5.499858902700318
qwen3-4b,semantic,semantic:stateful-customer_support-set_duplicate_similarity_score-00:decoy-observation,stateful-customer_support-set_duplicate_similarity_score-00,support-refund-vs-duplicate,customer_support,decoy_success_minus_failure,explicit_failure,-20.125001814859793,-14.625243956618874,-5.499757858240919
qwen3-4b,semantic,semantic:stateful-customer_support-set_duplicate_similarity_score-01:decoy-observation,stateful-customer_support-set_duplicate_similarity_score-01,support-refund-vs-duplicate,customer_support,decoy_success_minus_failure,explicit_failure,-19.93750215122604,-15.500045828078747,-4.437456323147295
qwen3-4b,semantic,semantic:stateful-customer_support-set_duplicate_similarity_score-02:decoy-observation,stateful-customer_support-set_duplicate_similarity_score-02,support-refund-vs-duplicate,customer_support,decoy_success_minus_failure,explicit_failure,-20.812502083708097,-14.62520227454759,-6.187299809160507
qwen3-4b,semantic,semantic:stateful-customer_support-set_duplicate_similarity_score-03:decoy-observation,stateful-customer_support-set_duplicate_similarity_score-03,support-refund-vs-duplicate,customer_support,decoy_success_minus_failure,explicit_failure,-20.125001298501232,-13.500064475406802,-6.62493682309443
qwen3-4b,semantic,semantic:stateful-customer_support-set_duplicate_similarity_score-04:decoy-observation,stateful-customer_support-set_duplicate_similarity_score-04,support-refund-vs-duplicate,customer_support,decoy_success_minus_failure,explicit_failure,-19.12504767285475,-15.251766443306003,-3.873281229548745
qwen3-4b,semantic,semantic:stateful-customer_support-set_escalation_target-00:decoy-observation,stateful-customer_support-set_escalation_target-00,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-20.937502391759878,-15.875075809325068,-5.06242658243481
qwen3-4b,semantic,semantic:stateful-customer_support-set_escalation_target-01:decoy-observation,stateful-customer_support-set_escalation_target-01,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-20.000002897606038,-15.75010810121789,-4.249894796388148
qwen3-4b,semantic,semantic:stateful-customer_support-set_escalation_target-02:decoy-observation,stateful-customer_support-set_escalation_target-02,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-20.812619962881897,-16.125111556557286,-4.687508406324611
qwen3-4b,semantic,semantic:stateful-customer_support-set_escalation_target-03:decoy-observation,stateful-customer_support-set_escalation_target-03,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-20.12500221892224,-15.500102915153825,-4.624899303768416
qwen3-4b,semantic,semantic:stateful-customer_support-set_escalation_target-04:decoy-observation,stateful-customer_support-set_escalation_target-04,support-priority-vs-escalation,customer_support,decoy_success_minus_failure,explicit_failure,-20.375161057196188,-16.250057417638395,-4.125103639557793
