model,family,control,recipient_pair_id,donor_pair_id
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-replenishment_source-00:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-expiry_risk-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-replenishment_source-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-sellable_units-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-replenishment_source-03:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-pick_location-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-replenishment_source-04:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-sellable_units-00:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-capacity_utilization-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-sellable_units-04:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-capacity_utilization-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-transferable_units-04:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-backorder_priority-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-access_decision-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-training_requirement-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-access_decision-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-training_requirement-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-badge_expiry-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-leave_balance-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-badge_expiry-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-leave_balance-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-badge_expiry-02:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-badge_expiry-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-leave_balance-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-badge_expiry-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-leave_balance-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-delegation_scope-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-shift_eligibility-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-leave_balance-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-training_requirement-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-leave_balance-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-training_requirement-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-leave_balance-02:sub-operations-no-last:after_penultimate_success,structural:workforce_access-badge_expiry-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-leave_balance-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-badge_expiry-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-leave_balance-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-badge_expiry-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-offboarding_actions-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-offboarding_actions-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-oncall_assignment-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-badge_expiry-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-oncall_assignment-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-training_requirement-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-oncall_assignment-02:sub-operations-no-last:after_penultimate_success,structural:workforce_access-offboarding_actions-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-oncall_assignment-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-leave_balance-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-role_assignment-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-access_decision-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-role_assignment-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-access_decision-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-role_assignment-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-access_decision-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-shift_eligibility-00:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-shift_eligibility-01:sub-operations-no-last:after_penultimate_success,structural:workforce_access-offboarding_actions-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-shift_eligibility-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-badge_expiry-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-shift_eligibility-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-delegation_scope-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-training_requirement-02:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-training_requirement-03:sub-operations-no-last:after_penultimate_success,structural:workforce_access-oncall_assignment-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:workforce_access-training_requirement-04:sub-operations-no-last:after_penultimate_success,structural:workforce_access-access_decision-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-audit_sample-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-exception_expiry-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-risk_rating-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-audit_sample-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-exception_expiry-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-evidence_completeness-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-remediation_owner-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-evidence_completeness-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-evidence_completeness-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-remediation_owner-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-exception_expiry-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-exception_expiry-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-exception_expiry-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-exception_expiry-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-remediation_owner-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-filing_readiness-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-filing_readiness-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-remediation_owner-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-filing_readiness-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-policy_applicability-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-risk_rating-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-policy_applicability-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-remediation_owner-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-remediation_owner-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-policy_applicability-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-remediation_owner-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-remediation_owner-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-retention_deadline-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-risk_rating-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-retention_deadline-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-policy_applicability-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-retention_deadline-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-risk_rating-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-risk_rating-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-risk_rating-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-policy_applicability-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-risk_rating-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-retention_deadline-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-risk_rating-03:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-exception_expiry-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-risk_rating-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-segregation_conflict-00:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-segregation_conflict-01:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-retention_deadline-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-segregation_conflict-02:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-retention_deadline-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:compliance_audit-segregation_conflict-04:sub-operations-no-last:after_penultimate_success,structural:compliance_audit-filing_readiness-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-available_balance-01:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-transaction_fee-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-reconciliation_status-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-book_balance-02:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-budget_variance-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-book_balance-03:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-fx_settlement-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-budget_variance-00:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-transaction_fee-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-budget_variance-01:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-budget_variance-03:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-tax_basis-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-budget_variance-04:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-tax_basis-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-fx_settlement-00:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-fx_settlement-01:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-fx_settlement-03:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-fx_settlement-04:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-reconciliation_status-04:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-book_balance-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-tax_basis-00:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-budget_variance-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-transaction_fee-00:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-budget_variance-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-transaction_fee-01:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-available_balance-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-transaction_fee-03:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-budget_variance-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:finance_ledger-transaction_fee-04:sub-operations-no-last:after_penultimate_success,structural:finance_ledger-budget_variance-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-amendment_impact-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-effective_clause-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-amendment_impact-01:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-effective_clause-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-amendment_impact-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-effective_clause-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-amendment_impact-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-effective_clause-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-amendment_impact-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-effective_clause-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-citation_target-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-citation_target-01:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-citation_target-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-citation_target-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-contract_deadline-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-contract_deadline-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-citation_target-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-contract_deadline-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-effective_clause-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-contract_deadline-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-effective_clause-01:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-contract_deadline-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-effective_clause-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-contract_deadline-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-effective_clause-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-contract_deadline-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-latest_version-01:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-latest_version-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-obligation_owner-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-obligation_owner-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-citation_target-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-retention_class-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-citation_target-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-retention_class-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-retention_class-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-retention_class-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-section_summary-01:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-citation_target-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-section_summary-02:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-citation_target-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-section_summary-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-section_summary-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-retention_class-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-signature_status-00:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-section_summary-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-signature_status-03:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-latest_version-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-currency_amount-04:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-promotional_price-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-order_total-01:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-shipping_charge-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-promotional_price-00:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-currency_amount-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-promotional_price-02:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-currency_amount-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-shipping_charge-00:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-tax_amount-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-shipping_charge-01:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-shipping_charge-02:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-tax_amount-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-shipping_charge-03:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-shipping_charge-04:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-tax_amount-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-tax_amount-00:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-shipping_charge-00:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:pricing_billing-tax_amount-03:sub-operations-no-last:after_penultimate_success,structural:pricing_billing-shipping_charge-02:sub-operations-no-last:after_penultimate_success
