model_key,family,contrast,split,pair_id,cluster_id,direction,layer,clean_donor_margin,clean_recipient_margin,clean_gap_abs,patched_margin,donor_aligned_effect
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-apply_cycle_count_adjustment-03:decoy-observation,inventory-reservation-vs-count,high_to_low,24,22.125,1.0,21.125,16.625,15.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_assigned_role-00:decoy-observation,compliance-role-vs-retention,high_to_low,21,22.3125,5.25,17.0625,16.125,10.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_refund_maximum_amount-00:decoy-observation,support-refund-vs-duplicate,high_to_low,34,22.25,3.25,19.0,22.125,18.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_purchase_approval_threshold-03:decoy-observation,procurement-approval-vs-transit,high_to_low,25,22.125,4.25,17.875,17.75,13.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_goods_receipt_quantity-03:decoy-observation,procurement-contract-vs-receipt,high_to_low,33,22.375,2.25,20.125,22.0,19.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_promotion_discount_value-02:decoy-observation,pricing-promotion-vs-contract,high_to_low,19,21.0,3.625,17.375,9.125,5.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_escalation_target-04:decoy-observation,support-priority-vs-escalation,high_to_low,19,23.875,6.375,17.5,14.5,8.125
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-customer_support-set_duplicate_similarity_score-04:decoy-observation,support-refund-vs-duplicate,high_to_low,35,22.25,5.625,16.625,22.25,16.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-replace_audit_population_record-02:decoy-observation,compliance-risk-vs-sample,high_to_low,33,22.25,5.375,16.875,22.3125,16.9375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_purchase_approval_threshold-01:decoy-observation,procurement-approval-vs-transit,high_to_low,31,21.75,3.0,18.75,21.125,18.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_badge_validity_days-02:decoy-observation,workforce-oncall-vs-badge,high_to_low,32,19.375,4.875,14.5,19.0,14.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_assigned_role-02:decoy-observation,compliance-role-vs-retention,high_to_low,24,22.0,6.25,15.75,17.25,11.0
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-inventory_fulfillment-set_warehouse_capacity_volume-03:decoy-observation,inventory-stock-vs-capacity,high_to_low,35,22.5625,-0.125,22.6875,22.5625,22.6875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-assign_quote_supplier-04:decoy-observation,procurement-certification-vs-quote,high_to_low,34,22.625,3.875,18.75,22.125,18.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_contract_allowed_price-02:decoy-observation,procurement-contract-vs-receipt,high_to_low,28,21.9375,4.0,17.9375,20.5,16.5
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-customer_support-set_case_routing_owner-04:decoy-observation,support-owner-vs-sla,high_to_low,35,23.3125,5.625,17.6875,23.3125,17.6875
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-inventory_fulfillment-apply_sales_reservation-03:decoy-observation,inventory-reservation-vs-count,high_to_low,35,21.625,1.125,20.5,21.625,20.5
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-pricing_billing-set_contract_adjustment_value-04:decoy-observation,pricing-promotion-vs-contract,high_to_low,35,21.75,4.0,17.75,21.75,17.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_shift_minimum_rest_hours-01:decoy-observation,workforce-shift-vs-leave,high_to_low,21,23.5,2.25,21.25,16.0,13.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_payment_status_code-03:decoy-observation,finance-fx-vs-payment,high_to_low,34,23.25,5.625,17.625,22.8125,17.1875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_audit_event_reference-04:decoy-observation,finance-journal-vs-audit-event,high_to_low,25,23.375,6.25,17.125,19.875,13.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_retention_classification-02:decoy-observation,contracts-retention-vs-section,high_to_low,31,22.0,3.5,18.5,22.0625,18.5625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_refund_maximum_amount-03:decoy-observation,support-refund-vs-duplicate,high_to_low,21,22.0,3.75,18.25,14.125,10.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_promotion_discount_value-04:decoy-observation,pricing-promotion-vs-contract,high_to_low,21,22.1875,3.625,18.5625,15.75,12.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_effective_clause_text-01:decoy-observation,contracts-clause-vs-obligation,high_to_low,22,23.625,3.125,20.5,17.125,14.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_role_assignment_priority-01:decoy-observation,workforce-access-vs-role,high_to_low,33,22.8125,3.625,19.1875,22.375,18.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_escalation_target-03:decoy-observation,support-priority-vs-escalation,high_to_low,32,23.4375,6.375,17.0625,23.0,16.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_assigned_role-00:decoy-observation,compliance-role-vs-retention,high_to_low,35,22.3125,5.25,17.0625,22.3125,17.0625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_signature_event_type-00:decoy-observation,contracts-citation-vs-signature,high_to_low,32,22.125,1.375,20.75,21.375,20.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-record_tax_basis-00:decoy-observation,finance-fee-vs-tax-basis,high_to_low,21,24.6875,4.875,19.8125,17.125,12.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_budget_planned_amount-01:decoy-observation,finance-statement-vs-budget,high_to_low,27,23.25,3.5,19.75,20.5,17.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-replace_audit_population_record-02:decoy-observation,compliance-risk-vs-sample,high_to_low,18,22.25,5.375,16.875,8.25,2.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_warehouse_capacity_volume-01:decoy-observation,inventory-stock-vs-capacity,high_to_low,27,22.125,2.125,20.0,19.375,17.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_shift_minimum_rest_hours-01:decoy-observation,workforce-shift-vs-leave,high_to_low,18,23.5,2.25,21.25,6.75,4.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_revision_approval-04:decoy-observation,contracts-deadline-vs-version,high_to_low,33,22.4375,3.875,18.5625,22.125,18.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_promotion_discount_value-02:decoy-observation,pricing-promotion-vs-contract,high_to_low,22,21.0,3.625,17.375,14.75,11.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_purchase_approval_threshold-04:decoy-observation,procurement-approval-vs-transit,high_to_low,23,22.375,4.375,18.0,17.375,13.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_statement_closing_total-00:decoy-observation,finance-statement-vs-budget,high_to_low,30,23.875,4.0,19.875,23.375,19.375
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-customer_support-set_sla_duration_minutes-00:decoy-observation,support-owner-vs-sla,high_to_low,35,23.875,2.5,21.375,23.875,21.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-replace_audit_population_record-02:decoy-observation,compliance-risk-vs-sample,high_to_low,27,22.25,5.375,16.875,20.0,14.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_refund_maximum_amount-03:decoy-observation,support-refund-vs-duplicate,high_to_low,23,22.0,3.75,18.25,16.625,12.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_next_case_action-03:decoy-observation,support-action-vs-channel,high_to_low,31,23.3125,7.875,15.4375,22.3125,14.4375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_contract_deadline_offset-00:decoy-observation,contracts-deadline-vs-version,high_to_low,31,23.625,1.25,22.375,23.0625,21.8125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_badge_validity_days-02:decoy-observation,workforce-oncall-vs-badge,high_to_low,23,19.375,4.875,14.5,15.0,10.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-assign_quote_supplier-03:decoy-observation,procurement-certification-vs-quote,high_to_low,25,22.875,2.625,20.25,18.625,16.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_revision_approval-04:decoy-observation,contracts-deadline-vs-version,high_to_low,20,22.4375,3.875,18.5625,15.25,11.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-apply_cycle_count_adjustment-02:decoy-observation,inventory-reservation-vs-count,high_to_low,28,22.1875,2.125,20.0625,20.5,18.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_fulfillment_on_hand_units-04:decoy-observation,inventory-stock-vs-capacity,high_to_low,35,23.5,2.125,21.375,23.5,21.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_case_priority-01:decoy-observation,support-priority-vs-escalation,high_to_low,35,23.75,5.625,18.125,23.75,18.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_refund_maximum_amount-01:decoy-observation,support-refund-vs-duplicate,high_to_low,20,23.875,3.875,20.0,13.25,9.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_currency_exchange_rate-01:decoy-observation,pricing-credit-vs-fx,high_to_low,32,20.75,2.875,17.875,20.625,17.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-activate_list_price-00:decoy-observation,pricing-list-vs-margin,high_to_low,26,23.875,2.0,21.875,19.875,17.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_obligation_party-02:decoy-observation,contracts-clause-vs-obligation,high_to_low,19,22.9375,2.75,20.1875,12.375,9.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-activate_margin_floor-00:decoy-observation,pricing-list-vs-margin,high_to_low,23,23.0625,3.375,19.6875,18.125,14.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_payment_status_code-01:decoy-observation,finance-fx-vs-payment,high_to_low,35,23.375,6.25,17.125,23.375,17.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_retention_classification-03:decoy-observation,contracts-retention-vs-section,high_to_low,33,22.8125,1.0,21.8125,22.25,21.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_oncall_capacity-02:decoy-observation,workforce-oncall-vs-badge,high_to_low,18,20.0,5.0,15.0,8.25,3.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_refund_maximum_amount-00:decoy-observation,support-refund-vs-duplicate,high_to_low,31,22.25,3.25,19.0,21.625,18.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_payment_status_code-04:decoy-observation,finance-fx-vs-payment,high_to_low,29,23.6875,5.875,17.8125,22.0625,16.1875
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-compliance_audit-set_retention_years-02:decoy-observation,compliance-role-vs-retention,high_to_low,35,20.875,6.25,14.625,20.875,14.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_audit_event_reference-02:decoy-observation,finance-journal-vs-audit-event,high_to_low,30,23.0625,5.375,17.6875,22.4375,17.0625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_assigned_role-03:decoy-observation,compliance-role-vs-retention,high_to_low,33,22.5625,6.625,15.9375,22.3125,15.6875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_signature_event_type-00:decoy-observation,contracts-citation-vs-signature,high_to_low,27,22.125,1.375,20.75,19.125,17.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_remediation_owner-01:decoy-observation,compliance-owner-vs-filing,high_to_low,23,23.125,3.125,20.0,17.75,14.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_risk_matrix_score-02:decoy-observation,compliance-risk-vs-sample,high_to_low,31,22.375,5.0,17.375,22.25,17.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_retention_years-04:decoy-observation,compliance-role-vs-retention,high_to_low,24,21.5,4.75,16.75,16.625,11.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_escalation_target-02:decoy-observation,support-priority-vs-escalation,high_to_low,24,23.3125,7.0,16.3125,19.125,12.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_contract_deadline_offset-04:decoy-observation,contracts-deadline-vs-version,high_to_low,19,24.1875,2.125,22.0625,10.125,8.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_contract_allowed_price-04:decoy-observation,procurement-contract-vs-receipt,high_to_low,33,23.125,3.875,19.25,22.8125,18.9375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_revision_approval-00:decoy-observation,contracts-deadline-vs-version,high_to_low,32,22.3125,2.5,19.8125,22.1875,19.6875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_access_minimum_clearance-02:decoy-observation,workforce-access-vs-role,high_to_low,34,22.875,3.125,19.75,22.4375,19.3125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-activate_margin_floor-00:decoy-observation,pricing-list-vs-margin,high_to_low,32,23.0625,3.375,19.6875,22.875,19.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_exception_extension_days-03:decoy-observation,compliance-control-vs-exception,high_to_low,26,22.9375,3.875,19.0625,19.75,15.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_promotion_discount_value-03:decoy-observation,pricing-promotion-vs-contract,high_to_low,27,22.0,2.125,19.875,19.125,17.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-apply_sales_reservation-04:decoy-observation,inventory-reservation-vs-count,high_to_low,19,23.8125,2.125,21.6875,6.5,4.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_audit_event_reference-04:decoy-observation,finance-journal-vs-audit-event,high_to_low,33,23.375,6.25,17.125,22.875,16.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_retention_years-02:decoy-observation,compliance-role-vs-retention,high_to_low,26,20.875,6.25,14.625,18.0,11.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_case_contact_channel-01:decoy-observation,support-action-vs-channel,high_to_low,31,23.75,4.875,18.875,22.9375,18.0625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_ledger_entry_amount-01:decoy-observation,finance-ledger-vs-hold,high_to_low,33,23.25,3.875,19.375,22.8125,18.9375
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-inventory_fulfillment-set_source_transfer_cost-00:decoy-observation,inventory-source-cost-vs-expiry,high_to_low,35,22.8125,0.875,21.9375,22.8125,21.9375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_goods_receipt_quantity-03:decoy-observation,procurement-contract-vs-receipt,high_to_low,19,22.375,2.25,20.125,9.625,7.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-replace_audit_population_record-00:decoy-observation,compliance-risk-vs-sample,high_to_low,26,22.75,4.25,18.5,19.5,15.25
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-compliance_audit-set_filing_artifact_count-02:decoy-observation,compliance-owner-vs-filing,high_to_low,35,21.5,4.5,17.0,21.5,17.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_safety_stock_floor-01:decoy-observation,inventory-policy-floor-vs-cover,high_to_low,18,21.4375,2.5,18.9375,3.625,1.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_safety_stock_floor-01:decoy-observation,inventory-policy-floor-vs-cover,high_to_low,35,21.4375,2.5,18.9375,21.4375,18.9375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-apply_sales_reservation-00:decoy-observation,inventory-reservation-vs-count,high_to_low,35,23.875,-0.625,24.5,23.875,24.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_expedited_delivery_days-00:decoy-observation,procurement-performance-vs-expedite,high_to_low,18,23.125,2.75,20.375,5.125,2.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-assign_quote_supplier-04:decoy-observation,procurement-certification-vs-quote,high_to_low,21,22.625,3.875,18.75,15.125,11.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_oncall_capacity-02:decoy-observation,workforce-oncall-vs-badge,high_to_low,26,20.0,5.0,15.0,17.375,12.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_case_routing_owner-03:decoy-observation,support-owner-vs-sla,high_to_low,33,22.75,4.125,18.625,22.4375,18.3125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_role_assignment_priority-03:decoy-observation,workforce-access-vs-role,high_to_low,32,22.6875,3.75,18.9375,22.3125,18.5625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_reorder_target_cover-00:decoy-observation,inventory-policy-floor-vs-cover,high_to_low,35,23.3125,2.5,20.8125,23.3125,20.8125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_document_section_text-03:decoy-observation,contracts-retention-vs-section,high_to_low,33,21.625,2.875,18.75,21.25,18.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_contract_adjustment_value-01:decoy-observation,pricing-promotion-vs-contract,high_to_low,29,21.625,4.0,17.625,20.375,16.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_supplier_certification_level-00:decoy-observation,procurement-certification-vs-quote,high_to_low,29,23.375,0.25,23.125,21.875,21.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_goods_receipt_quantity-03:decoy-observation,procurement-contract-vs-receipt,high_to_low,29,22.375,2.25,20.125,20.5,18.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_currency_exchange_rate-00:decoy-observation,pricing-credit-vs-fx,high_to_low,35,22.5625,0.875,21.6875,22.5625,21.6875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_source_transfer_cost-02:decoy-observation,inventory-source-cost-vs-expiry,high_to_low,31,22.5,4.125,18.375,21.8125,17.6875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_goods_receipt_quantity-01:decoy-observation,procurement-contract-vs-receipt,high_to_low,18,22.9375,3.125,19.8125,7.0,3.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-set_exception_extension_days-03:decoy-observation,compliance-control-vs-exception,high_to_low,33,22.9375,3.875,19.0625,23.0,19.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-compliance_audit-replace_audit_population_record-02:decoy-observation,compliance-risk-vs-sample,high_to_low,32,22.25,5.375,16.875,22.25,16.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_delegation_allowed_actions-03:decoy-observation,workforce-overtime-vs-delegation,high_to_low,35,20.875,2.25,18.625,20.875,18.625
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-inventory_fulfillment-set_backorder_customer_tier-04:decoy-observation,inventory-priority-vs-pick,high_to_low,35,22.75,4.75,18.0,22.75,18.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_retention_classification-03:decoy-observation,contracts-retention-vs-section,high_to_low,27,22.8125,1.0,21.8125,19.75,18.75
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-procurement_suppliers-assign_quote_supplier-04:decoy-observation,procurement-certification-vs-quote,high_to_low,35,22.625,3.875,18.75,22.5,18.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_account_hold_amount-04:decoy-observation,finance-ledger-vs-hold,high_to_low,25,23.25,5.0,18.25,20.0,15.0
