family,model_key,pair_id,cluster_id,control,direction,activation_donor_pair_id,clean_recipient_margin,clean_reference_paired_donor_margin,patched_margin,donor_aligned_effect,clean_gap_abs
structural,qwen3-4b,structural:compliance_audit-retention_deadline-03:sub-operations-no-last:after_penultimate_success,resolve_retention_deadline,same_condition_token_matched,high_to_low,structural:compliance_audit-policy_applicability-03:sub-operations-no-last:after_penultimate_success,11.0,36.0,-14.0,-25.0,25.0
structural,qwen3-4b,structural:finance_ledger-fx_settlement-01:sub-operations-no-last:after_penultimate_success,resolve_fx_settlement,same_condition_token_matched,high_to_low,structural:finance_ledger-book_balance-03:sub-operations-no-last:after_penultimate_success,6.0,26.75,12.5,6.5,20.75
structural,qwen3-4b,structural:procurement_suppliers-contract_compliance-04:sub-operations-no-last:after_penultimate_success,resolve_contract_compliance,same_condition_token_matched,high_to_low,structural:procurement_suppliers-purchase_limit-03:sub-operations-no-last:after_penultimate_success,3.0,36.8125,-14.25,-17.25,33.8125
structural,qwen3-4b,structural:contracts_documents-section_summary-02:sub-operations-no-last:after_penultimate_success,resolve_section_summary,same_condition_token_matched,high_to_low,structural:contracts_documents-citation_target-04:sub-operations-no-last:after_penultimate_success,-18.0,26.5625,2.75,20.75,44.5625
structural,qwen3-4b,structural:pricing_billing-order_total-01:sub-operations-no-last:after_penultimate_success,resolve_order_total,same_condition_token_matched,high_to_low,structural:pricing_billing-shipping_charge-04:sub-operations-no-last:after_penultimate_success,-11.25,25.25,5.75,17.0,36.5
structural,qwen3-4b,structural:contracts_documents-retention_class-02:sub-operations-no-last:after_penultimate_success,resolve_retention_class,same_condition_token_matched,high_to_low,structural:contracts_documents-section_summary-04:sub-operations-no-last:after_penultimate_success,-14.0,26.1875,-18.75,-4.75,40.1875
structural,qwen3-4b,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success,resolve_reorder_quantity,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-capacity_utilization-03:sub-operations-no-last:after_penultimate_success,4.75,29.1875,-9.0,-13.75,24.4375
structural,qwen3-4b,structural:workforce_access-badge_expiry-00:sub-operations-no-last:after_penultimate_success,resolve_badge_expiry,same_condition_token_matched,high_to_low,structural:workforce_access-leave_balance-01:sub-operations-no-last:after_penultimate_success,5.75,35.375,0.0,-5.75,29.625
structural,qwen3-4b,structural:procurement_suppliers-supplier_eligibility-02:sub-operations-no-last:after_penultimate_success,resolve_supplier_eligibility,same_condition_token_matched,high_to_low,structural:procurement_suppliers-contract_compliance-00:sub-operations-no-last:after_penultimate_success,-6.25,33.75,-5.5,0.75,40.0
structural,qwen3-4b,structural:contracts_documents-latest_version-04:sub-operations-no-last:after_penultimate_success,resolve_latest_version,same_condition_token_matched,high_to_low,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success,-6.75,25.5,-14.25,-7.5,32.25
structural,qwen3-4b,structural:compliance_audit-risk_rating-03:sub-operations-no-last:after_penultimate_success,resolve_risk_rating,same_condition_token_matched,high_to_low,structural:compliance_audit-exception_expiry-01:sub-operations-no-last:after_penultimate_success,-0.25,34.25,-9.25,-9.0,34.5
structural,qwen3-4b,structural:workforce_access-role_assignment-00:sub-operations-no-last:after_penultimate_success,resolve_role_assignment,same_condition_token_matched,high_to_low,structural:workforce_access-access_decision-00:sub-operations-no-last:after_penultimate_success,13.5,31.875,3.0,-10.5,18.375
structural,qwen3-4b,structural:inventory_fulfillment-replenishment_source-03:sub-operations-no-last:after_penultimate_success,resolve_replenishment_source,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-pick_location-03:sub-operations-no-last:after_penultimate_success,-5.25,24.25,-17.25,-12.0,29.5
structural,qwen3-4b,structural:procurement_suppliers-expedite_decision-02:sub-operations-no-last:after_penultimate_success,resolve_expedite_decision,same_condition_token_matched,high_to_low,structural:procurement_suppliers-contract_compliance-03:sub-operations-no-last:after_penultimate_success,-6.5,27.125,8.0,14.5,33.625
structural,qwen3-4b,structural:workforce_access-access_decision-00:sub-operations-no-last:after_penultimate_success,resolve_access_decision,same_condition_token_matched,high_to_low,structural:workforce_access-training_requirement-04:sub-operations-no-last:after_penultimate_success,3.0,33.75,-0.75,-3.75,30.75
structural,qwen3-4b,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success,resolve_margin_floor,same_condition_token_matched,high_to_low,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success,-5.0,29.5625,-15.75,-10.75,34.5625
structural,qwen3-4b,structural:finance_ledger-fx_settlement-04:sub-operations-no-last:after_penultimate_success,resolve_fx_settlement,same_condition_token_matched,high_to_low,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success,8.0,28.4375,9.25,1.25,20.4375
structural,qwen3-4b,structural:inventory_fulfillment-transferable_units-04:sub-operations-no-last:after_penultimate_success,resolve_transferable_units,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-backorder_priority-04:sub-operations-no-last:after_penultimate_success,25.625,30.0625,-14.25,-39.875,4.4375
structural,qwen3-4b,structural:inventory_fulfillment-pick_location-03:sub-operations-no-last:after_penultimate_success,resolve_pick_location,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-replenishment_source-03:sub-operations-no-last:after_penultimate_success,-17.25,26.875,-5.25,12.0,44.125
structural,qwen3-4b,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success,resolve_filing_readiness,same_condition_token_matched,high_to_low,structural:compliance_audit-remediation_owner-04:sub-operations-no-last:after_penultimate_success,1.25,33.75,-12.75,-14.0,32.5
structural,qwen3-4b,structural:customer_support-next_action-02:sub-operations-no-last:after_penultimate_success,resolve_next_action,same_condition_token_matched,high_to_low,structural:customer_support-case_priority-03:sub-operations-no-last:after_penultimate_success,-12.5,25.5,-0.25,12.25,38.0
structural,qwen3-4b,structural:customer_support-next_action-04:sub-operations-no-last:after_penultimate_success,resolve_next_action,same_condition_token_matched,high_to_low,structural:customer_support-contact_channel-02:sub-operations-no-last:after_penultimate_success,-12.0,32.625,-1.75,10.25,44.625
structural,qwen3-4b,structural:contracts_documents-effective_clause-04:sub-operations-no-last:after_penultimate_success,resolve_effective_clause,same_condition_token_matched,high_to_low,structural:contracts_documents-contract_deadline-00:sub-operations-no-last:after_penultimate_success,16.625,26.25,5.5,-11.125,9.625
structural,qwen3-4b,structural:finance_ledger-budget_variance-03:sub-operations-no-last:after_penultimate_success,resolve_budget_variance,same_condition_token_matched,high_to_low,structural:finance_ledger-tax_basis-00:sub-operations-no-last:after_penultimate_success,13.375,31.0625,-13.75,-27.125,17.6875
structural,qwen3-4b,structural:workforce_access-badge_expiry-01:sub-operations-no-last:after_penultimate_success,resolve_badge_expiry,same_condition_token_matched,high_to_low,structural:workforce_access-leave_balance-04:sub-operations-no-last:after_penultimate_success,-11.5,21.625,-12.75,-1.25,33.125
structural,qwen3-4b,structural:procurement_suppliers-supplier_eligibility-00:sub-operations-no-last:after_penultimate_success,resolve_supplier_eligibility,same_condition_token_matched,high_to_low,structural:procurement_suppliers-lead_time-01:sub-operations-no-last:after_penultimate_success,2.75,31.5,1.0,-1.75,28.75
structural,qwen3-4b,structural:customer_support-refund_eligibility-00:sub-operations-no-last:after_penultimate_success,resolve_refund_eligibility,same_condition_token_matched,high_to_low,structural:customer_support-escalation_target-03:sub-operations-no-last:after_penultimate_success,-9.0,25.5,-8.25,0.75,34.5
structural,qwen3-4b,structural:workforce_access-access_decision-04:sub-operations-no-last:after_penultimate_success,resolve_access_decision,same_condition_token_matched,high_to_low,structural:workforce_access-training_requirement-04:sub-operations-no-last:after_penultimate_success,-15.25,26.875,-0.75,14.5,42.125
structural,qwen3-4b,structural:contracts_documents-citation_target-01:sub-operations-no-last:after_penultimate_success,resolve_citation_target,same_condition_token_matched,high_to_low,structural:contracts_documents-section_summary-01:sub-operations-no-last:after_penultimate_success,-1.0,26.25,-17.0,-16.0,27.25
structural,qwen3-4b,structural:finance_ledger-budget_variance-04:sub-operations-no-last:after_penultimate_success,resolve_budget_variance,same_condition_token_matched,high_to_low,structural:finance_ledger-tax_basis-00:sub-operations-no-last:after_penultimate_success,18.625,32.0625,-13.75,-32.375,13.4375
structural,qwen3-4b,structural:workforce_access-leave_balance-03:sub-operations-no-last:after_penultimate_success,resolve_leave_balance,same_condition_token_matched,high_to_low,structural:workforce_access-badge_expiry-04:sub-operations-no-last:after_penultimate_success,-10.75,24.625,-3.5,7.25,35.375
structural,qwen3-4b,structural:contracts_documents-effective_clause-02:sub-operations-no-last:after_penultimate_success,resolve_effective_clause,same_condition_token_matched,high_to_low,structural:contracts_documents-contract_deadline-00:sub-operations-no-last:after_penultimate_success,10.375,27.875,5.5,-4.875,17.5
structural,qwen3-4b,structural:finance_ledger-budget_variance-01:sub-operations-no-last:after_penultimate_success,resolve_budget_variance,same_condition_token_matched,high_to_low,structural:finance_ledger-book_balance-02:sub-operations-no-last:after_penultimate_success,4.5,31.75,0.0,-4.5,27.25
structural,qwen3-4b,structural:finance_ledger-transaction_fee-01:sub-operations-no-last:after_penultimate_success,resolve_transaction_fee,same_condition_token_matched,high_to_low,structural:finance_ledger-available_balance-01:sub-operations-no-last:after_penultimate_success,-3.5,32.125,5.5,9.0,35.625
structural,qwen3-4b,structural:contracts_documents-retention_class-03:sub-operations-no-last:after_penultimate_success,resolve_retention_class,same_condition_token_matched,high_to_low,structural:contracts_documents-section_summary-03:sub-operations-no-last:after_penultimate_success,-12.75,14.5,-18.5,-5.75,27.25
structural,qwen3-4b,structural:contracts_documents-section_summary-03:sub-operations-no-last:after_penultimate_success,resolve_section_summary,same_condition_token_matched,high_to_low,structural:contracts_documents-retention_class-04:sub-operations-no-last:after_penultimate_success,-18.5,25.375,-9.5,9.0,43.875
structural,qwen3-4b,structural:contracts_documents-citation_target-04:sub-operations-no-last:after_penultimate_success,resolve_citation_target,same_condition_token_matched,high_to_low,structural:contracts_documents-section_summary-02:sub-operations-no-last:after_penultimate_success,2.75,28.3125,-17.75,-20.5,25.5625
structural,qwen3-4b,structural:compliance_audit-exception_expiry-04:sub-operations-no-last:after_penultimate_success,resolve_exception_expiry,same_condition_token_matched,high_to_low,structural:compliance_audit-audit_sample-03:sub-operations-no-last:after_penultimate_success,-5.75,26.75,7.25,13.0,32.5
structural,qwen3-4b,structural:finance_ledger-fx_settlement-00:sub-operations-no-last:after_penultimate_success,resolve_fx_settlement,same_condition_token_matched,high_to_low,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success,12.25,30.875,9.25,-3.0,18.625
structural,qwen3-4b,structural:workforce_access-role_assignment-01:sub-operations-no-last:after_penultimate_success,resolve_role_assignment,same_condition_token_matched,high_to_low,structural:workforce_access-access_decision-04:sub-operations-no-last:after_penultimate_success,23.125,27.5,-15.25,-38.375,4.375
structural,qwen3-4b,structural:pricing_billing-shipping_charge-01:sub-operations-no-last:after_penultimate_success,resolve_shipping_charge,same_condition_token_matched,high_to_low,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success,15.625,28.0625,-15.75,-31.375,12.4375
structural,qwen3-4b,structural:inventory_fulfillment-replenishment_source-00:sub-operations-no-last:after_penultimate_success,resolve_replenishment_source,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-expiry_risk-02:sub-operations-no-last:after_penultimate_success,-8.5,17.375,-9.25,-0.75,25.875
structural,qwen3-4b,structural:pricing_billing-shipping_charge-03:sub-operations-no-last:after_penultimate_success,resolve_shipping_charge,same_condition_token_matched,high_to_low,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success,13.875,30.25,-5.0,-18.875,16.375
structural,qwen3-4b,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success,resolve_signature_status,same_condition_token_matched,high_to_low,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success,-14.25,24.5,-13.5,0.75,38.75
structural,qwen3-4b,structural:inventory_fulfillment-capacity_utilization-03:sub-operations-no-last:after_penultimate_success,resolve_capacity_utilization,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-expiry_risk-01:sub-operations-no-last:after_penultimate_success,-9.0,28.625,-16.25,-7.25,37.625
structural,qwen3-4b,structural:contracts_documents-contract_deadline-04:sub-operations-no-last:after_penultimate_success,resolve_contract_deadline,same_condition_token_matched,high_to_low,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success,10.25,27.5,-13.5,-23.75,17.25
structural,qwen3-4b,structural:compliance_audit-risk_rating-04:sub-operations-no-last:after_penultimate_success,resolve_risk_rating,same_condition_token_matched,high_to_low,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success,5.75,35.0,10.0,4.25,29.25
structural,qwen3-4b,structural:inventory_fulfillment-backorder_priority-04:sub-operations-no-last:after_penultimate_success,resolve_backorder_priority,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-transferable_units-04:sub-operations-no-last:after_penultimate_success,-14.25,27.5,25.625,39.875,41.75
structural,qwen3-4b,structural:pricing_billing-shipping_charge-02:sub-operations-no-last:after_penultimate_success,resolve_shipping_charge,same_condition_token_matched,high_to_low,structural:pricing_billing-tax_amount-03:sub-operations-no-last:after_penultimate_success,11.75,29.4375,15.125,3.375,17.6875
structural,qwen3-4b,structural:contracts_documents-amendment_impact-03:sub-operations-no-last:after_penultimate_success,resolve_amendment_impact,same_condition_token_matched,high_to_low,structural:contracts_documents-effective_clause-02:sub-operations-no-last:after_penultimate_success,7.0,29.75,10.375,3.375,22.75
structural,qwen3-4b,structural:finance_ledger-available_balance-01:sub-operations-no-last:after_penultimate_success,resolve_available_balance,same_condition_token_matched,high_to_low,structural:finance_ledger-transaction_fee-01:sub-operations-no-last:after_penultimate_success,5.5,27.0,-3.5,-9.0,21.5
structural,qwen3-4b,structural:customer_support-escalation_target-04:sub-operations-no-last:after_penultimate_success,resolve_escalation_target,same_condition_token_matched,high_to_low,structural:customer_support-refund_eligibility-00:sub-operations-no-last:after_penultimate_success,4.5,29.375,-9.0,-13.5,24.875
structural,qwen3-4b,structural:compliance_audit-exception_expiry-03:sub-operations-no-last:after_penultimate_success,resolve_exception_expiry,same_condition_token_matched,high_to_low,structural:compliance_audit-audit_sample-03:sub-operations-no-last:after_penultimate_success,-13.0,-3.5,7.25,20.25,9.5
